title,original_title,score,genre,date,synopsis,durée,pays_origine
Daredevil,,8.6,"Action,Crime,Drama,Back to top",2015–2018,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",54,United States
Code Geass,Original title: Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,8.7,"Animation,Action,Drama,Back to top",2006–2008,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",24,Japan
The Bridge,Original title: Bron/Broen,8.6,"Crime,Mystery,Thriller,Back to top",2011–2018,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",60,"Sweden,Denmark,Germany"
Behzat Ç.: Bir Ankara Polisiyesi,,8.8,"Crime,Drama,Mystery,Back to top",2010–2019,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other crimes that happens on a weekly basis, the undertone of the story leads to an eventual due...",90,Turkey
Blackadder II,,8.6,"Comedy,Back to top",1986,"In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",176,United Kingdom
Naruto: Shippuden,Original title: Naruto: Shippûden,8.7,"Animation,Action,Adventure,Back to top",2007–2017,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",24,Japan
Atlanta,,8.6,"Comedy,Drama,Music,Back to top",2016–2022,"Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",30,United States
Primal,,8.7,"Animation,Action,Adventure,Back to top",2019– ,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,22,United States
The X-Files,Original title: The X Files,8.6,"Crime,Drama,Mystery,Back to top",1993–2018,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",45,United States
This Is Us,,8.7,"Comedy,Drama,Romance,Back to top",2016–2022,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",45,United States
